Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"1","1","Mycom No.1",,"1","20","120","QNP-Hệ thống lạnh NH3-Mycom No.1","7/26/2021 6:10 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"2","1","Mycom No.2",,"0","20","120","QNP-Hệ thống lạnh NH3-Mycom No.2","10/5/2021 7:39 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"3","1","Mycom No.3",,"1","20","120","QNP-Hệ thống lạnh NH3-Mycom No.3","10/5/2021 7:39 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"4","1","Glycol",,"1","20","120","QNP-Hệ thống lạnh NH3-Glycol","7/25/2021 4:02 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"5","1","Chiller",,"1","20","120","QNP-Hệ thống lạnh NH3-Chiller","7/26/2021 2:02 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"6","1","NH3 system",,"1","20","120","QNP-Hệ thống lạnh NH3-NH3 system","7/23/2021 2:39 PM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"7","2","Bồn dầu ",,"1","20","120","QNP-Boiler-Bồn dầu ","7/25/2021 12:15 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"8","2","Nước cấp vào Lò",,"1","20","120","QNP-Boiler-Nước cấp vào Lò","7/25/2021 12:14 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"9","2","Boiler No.1",,"1","20","120","QNP-Boiler-Boiler No.1","7/26/2021 4:15 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"10","2","Boiler No.2",,"1","20","120","QNP-Boiler-Boiler No.2","7/26/2021 10:10 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"11","2","Boiler No.3",,"1","20","120","QNP-Boiler-Boiler No.3","10/5/2021 7:40 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"12","2","Boiler No.4",,"0","20","120","QNP-Boiler-Boiler No.4","7/25/2021 4:10 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"13","2","Boiler No.5",,"1","20","120","QNP-Boiler-Boiler No.5","10/5/2021 7:40 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"14","3","CE2B",,"1","20","240","QNP-HP AC-CE2B","7/27/2021 12:04 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"15","3","CE680B",,"0","20","240","QNP-HP AC-CE680B","8/15/2021 1:35 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"16","3","CE46S",,"1","20","240","QNP-HP AC-CE46S","7/26/2021 4:05 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"17","3","CE6",,"0","20","240","QNP-HP AC-CE6","7/27/2021 12:12 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"18","4","ZT22",,"1","20","240","QNP-LP AC-ZT22","7/27/2021 12:13 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"19","4","ZT37VSD",,"1","20","240","QNP-LP AC-ZT37VSD","7/26/2021 8:12 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"20","4","ZT55VSD",,"1","20","240","QNP-LP AC-ZT55VSD","12/14/2021 5:29 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
