MACID,DescriptionPAR,Unit,Min,Max,OrderCheck,StartTimeEffect,EndTimeEffect,EffectFlag,Status,ID,Title,Modified,Created
"1","Áp đẩy"," bar","9.2","15","1","07/01/2021",,"1","1","1",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"1","Áp hút"," bar","3.2","6","2","07/01/2021",,"1","1","2",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"1","Áp dầu"," bar","2.4","3","3","07/01/2021",,"1","1","3",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"1","Chênh áp trước và sau lọc dầu"," bar","-0.1","1","4","07/01/2021",,"1","1","4",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"1","Nhiệt độ dầu","oC","33","55","7","07/01/2021","7/15/2022 2:28 AM","1","0","5",,"7/14/2022 12:28 PM","7/19/2021 8:46 PM"
"1","Nhiệt độ môi chất đầu hút"," oC","0.3","8","5","07/01/2021",,"1","1","6",,"10/5/2021 5:11 PM","7/19/2021 8:46 PM"
"1","Nhiệt độ môi chất đầu đẩy"," oC","56","85","6","07/01/2021",,"1","1","7",,"10/5/2021 5:11 PM","7/19/2021 8:46 PM"
"1","% tải","%","0","100","8","07/01/2021",,"1","1","8",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"1","Dòng điện motor","Amp","0","600","9","07/01/2021",,"1","1","9",,"7/26/2021 6:10 PM","7/19/2021 8:46 PM"
"2","Áp đẩy"," bar","9.2","15","1","07/01/2021",,"0","1","10",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"2","Áp hút"," bar","2.1","6","2","07/01/2021",,"0","1","11",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"2","Áp dầu"," bar","2.4","3","3","07/01/2021",,"0","1","12",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"2","Chênh áp trước và sau lọc dầu"," bar","-0.1","1","4","07/01/2021",,"0","1","13",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"2","Nhiệt độ dầu","oC","33","55","7","07/01/2021",,"0","1","14",,"10/5/2021 5:12 PM","7/19/2021 8:46 PM"
"2","Nhiệt độ môi chất đầu hút"," oC","-8","8","5","07/01/2021",,"0","1","15",,"10/5/2021 5:12 PM","7/19/2021 8:46 PM"
"2","Nhiệt độ môi chất đầu đẩy"," oC","56","85","6","07/01/2021",,"0","1","16",,"10/5/2021 5:13 PM","7/19/2021 8:46 PM"
"2","% tải","%","0","100","8","07/01/2021",,"0","1","17",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"2","Dòng điện motor","Amp","0","600","9","07/01/2021","9/17/2021 5:35 PM","1","0","18",,"9/17/2021 3:35 AM","7/19/2021 8:46 PM"
"3","Áp đẩy"," bar","9.2","15","1","07/01/2021",,"1","1","19",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"3","Áp hút"," bar","2.1","3.6","2","07/01/2021",,"1","1","20",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"3","Áp dầu"," bar","2.4","3","3","07/01/2021",,"1","1","21",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"3","Chênh áp trước và sau lọc dầu"," bar","-0.1","1","4","07/01/2021",,"1","1","22",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"3","Nhiệt độ dầu","oC","33","55","7","07/01/2021",,"1","1","23",,"10/5/2021 5:13 PM","7/19/2021 8:46 PM"
"3","Nhiệt độ môi chất đầu hút"," oC","-8","2.5","5","07/01/2021",,"1","1","24",,"10/5/2021 5:13 PM","7/19/2021 8:46 PM"
"3","Nhiệt độ môi chất đầu đẩy"," oC","56","85","6","07/01/2021",,"1","1","25",,"10/5/2021 5:14 PM","7/19/2021 8:46 PM"
"3","% tải","%","0","100","8","07/01/2021",,"1","1","26",,"10/5/2021 7:39 AM","7/19/2021 8:46 PM"
"3","Dòng điện motor","Amp","0","600","9","07/01/2021","9/8/2021 3:45 PM","0","0","27",,"9/8/2021 1:46 AM","7/19/2021 8:46 PM"
"4","Nhiệt độ Glycol cấp ","oC","-2.8","2","1","07/01/2021","9/8/2021 3:46 PM","1","0","28",,"9/8/2021 1:46 AM","7/19/2021 8:46 PM"
"4","Nhiệt độ Glycol hồi tank","oC","0","3","2","07/01/2021","9/8/2021 3:47 PM","1","0","29",,"9/8/2021 1:47 AM","7/19/2021 8:46 PM"
"4","Áp Glycol cấp"," oC","3","3.4","3","07/01/2021",,"1","1","30",,"7/25/2021 4:02 PM","7/19/2021 8:46 PM"
"4","Áp bơm tuần hoàn","bar","0","1","4","07/01/2021","9/8/2021 3:48 PM","1","0","31",,"9/8/2021 1:48 AM","7/19/2021 8:46 PM"
"4","Mức glycol trong tank ","m","3.1","4.4","5","07/01/2021",,"1","1","32",,"7/25/2021 4:02 PM","7/19/2021 8:46 PM"
