Title_x,MACID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode_x,Modified_x,Created_x,Modified By,Title_y,PLANTID,NameSYS,DescriptionSYS,QRCode_y,Modified_y,Created_y,Title,NameP,AddressP
,1,1,Mycom No.1,,1,20,120,QNP-Hệ thống lạnh NH3-Mycom No.1,7/26/2021 6:10 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,2,1,Mycom No.2,,0,20,120,QNP-Hệ thống lạnh NH3-Mycom No.2,10/5/2021 7:39 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,3,1,Mycom No.3,,1,20,120,QNP-Hệ thống lạnh NH3-Mycom No.3,10/5/2021 7:39 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,4,1,Glycol,,1,20,120,QNP-Hệ thống lạnh NH3-Glycol,7/25/2021 4:02 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,5,1,Chiller,,1,20,120,QNP-Hệ thống lạnh NH3-Chiller,7/26/2021 2:02 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,6,1,NH3 system,,1,20,120,QNP-Hệ thống lạnh NH3-NH3 system,7/23/2021 2:39 PM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,4,NH3,Hệ thống lạnh NH3,QNP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,7,2,Bồn dầu ,,1,20,120,QNP-Boiler-Bồn dầu ,7/25/2021 12:15 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,Boiler,Hệ thống Boiler,QNP-Boiler,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,8,2,Nước cấp vào Lò,,1,20,120,QNP-Boiler-Nước cấp vào Lò,7/25/2021 12:14 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,Boiler,Hệ thống Boiler,QNP-Boiler,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,9,2,Boiler No.1,,1,20,120,QNP-Boiler-Boiler No.1,7/26/2021 4:15 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,Boiler,Hệ thống Boiler,QNP-Boiler,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,10,2,Boiler No.2,,1,20,120,QNP-Boiler-Boiler No.2,7/26/2021 10:10 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,Boiler,Hệ thống Boiler,QNP-Boiler,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
